"","Date","true_closeprice","closepricehat"
"2019-03-01",237,5265.189941,5240.56648930556
"2019-03-04",238,5286.569824,5265.60490040768
"2019-03-05",239,5297.52002,5289.17468586316
"2019-03-06",240,5288.810059,5299.97236333161
"2019-03-07",241,5267.919922,5290.68083189586
"2019-03-08",242,5231.220215,5268.07960365849
"2019-03-11",243,5265.959961,5228.63028487129
"2019-03-12",244,5270.25,5262.21616210446
"2019-03-13",245,5306.379883,5271.42707765798
"2019-03-14",246,5349.779785,5309.62917972654
"2019-03-15",247,5405.319824,5352.96830972026
"2019-03-18",248,5412.830078,5412.20410296059
"2019-03-19",249,5425.899902,5419.08416250951
"2019-03-20",250,5382.660156,5430.72441346617
"2019-03-21",251,5378.850098,5386.21608853774
"2019-03-22",252,5269.919922,5377.50209116404
"2019-03-25",253,5260.640137,5269.36858123758
"2019-03-26",254,5307.379883,5247.52047985802
"2019-03-27",255,5301.240234,5303.05777994117
"2019-03-28",256,5296.540039,5308.63373464404
"2019-03-29",257,5350.529785,5298.07050596833
"2019-04-01",258,5405.529785,5350.15308540561
"2019-04-02",259,5423.470215,5411.40215374566
"2019-04-03",260,5468.910156,5431.65396905008
"2019-04-04",261,5463.799805,5473.62761552966
"2019-04-05",262,5476.200195,5466.01708849699
"2019-04-08",263,5471.779785,5477.52905917749
"2019-04-09",264,5436.419922,5473.97612950741
"2019-04-10",265,5449.879883,5437.50846261223
"2019-04-11",266,5485.720215,5449.3864892162
"2019-04-12",267,5502.700195,5486.03974737918
"2019-04-15",268,5508.72998,5507.61721930575
"2019-04-16",269,5528.669922,5514.54557343106
"2019-04-17",270,5563.089844,5530.35540513088
"2019-04-18",271,5580.379883,5565.60177509803
"2019-04-22",272,5580.379883,5567.68309857415
"2019-04-23",273,5591.689941,5585.68185803335
"2019-04-24",274,5576.060059,5595.8403836035
"2019-04-25",275,5557.669922,5577.81616368908
"2019-04-26",276,5569.359863,5559.48660781987
"2019-04-29",277,5580.97998,5568.39004767943
"2019-04-30",278,5586.410156,5581.89970411064
"2019-05-02",279,5538.859863,5588.76140529566
"2019-05-03",280,5548.839844,5540.47504933665
"2019-05-06",281,5483.52002,5545.5912572946
"2019-05-07",282,5395.75,5482.48115625821
"2019-05-08",283,5417.589844,5384.02781957932
"2019-05-09",284,5313.160156,5407.23086933937
"2019-05-10",285,5327.439941,5306.52075248536
"2019-05-13",286,5262.569824,5320.03366905838
"2019-05-14",287,5341.350098,5253.51144561485
"2019-05-15",288,5374.259766,5336.49809373796
"2019-05-16",289,5448.109863,5378.54207228229
"2019-05-17",290,5438.22998,5455.78740472388
"2019-05-20",291,5358.589844,5454.36614941246
"2019-05-21",292,5385.459961,5361.22115827531
"2019-05-22",293,5378.97998,5379.33691460713
"2019-05-23",294,5281.370117,5377.38564383454
"2019-05-24",295,5316.509766,5282.20835692636
"2019-05-27",296,5336.189941,5307.94027303368
"2019-05-28",297,5312.689941,5334.09501528015
"2019-05-29",298,5222.120117,5319.2845818339
"2019-05-30",299,5248.910156,5223.65966428954
"2019-05-31",300,5207.629883,5238.65057776337
"2019-06-03",301,5241.459961,5203.51887409676
"2019-06-04",302,5268.259766,5240.73206313558
"2019-06-05",303,5292,5271.20445389334
"2019-06-06",304,5278.430176,5298.20213791336
"2019-06-07",305,5364.049805,5283.9028388532
"2019-06-10",306,5382.5,5365.6728055233
"2019-06-11",307,5408.450195,5392.39244088886
"2019-06-12",308,5374.919922,5415.89248403133
"2019-06-13",309,5375.629883,5379.42574577366
"2019-06-14",310,5367.620117,5370.92733496291
"2019-06-17",311,5390.950195,5365.96699096274
"2019-06-18",312,5509.72998,5389.84452532267
"2019-06-19",313,5518.450195,5515.46189043142
"2019-06-20",314,5535.569824,5535.86999980833
"2019-06-21",315,5528.330078,5543.35336305638
"2019-06-24",316,5521.709961,5532.53202119058
"2019-06-25",317,5514.569824,5519.73391433179
"2019-06-26",318,5500.720215,5514.04031459278
"2019-06-27",319,5493.609863,5500.11997082379
"2019-06-28",320,5538.970215,5492.96596206448
"2019-07-01",321,5567.910156,5538.72354538232
"2019-07-02",322,5576.819824,5570.6552648118
"2019-07-03",323,5618.810059,5584.1535095693
"2019-07-04",324,5620.72998,5623.5210024983
"2019-07-05",325,5593.720215,5625.31869740533
"2019-07-08",326,5589.189941,5597.34660144604
"2019-07-09",327,5572.100098,5587.57095432968
"2019-07-10",328,5567.589844,5568.81891467481
"2019-07-11",329,5551.950195,5566.56217727725
"2019-07-12",330,5572.859863,5552.11425342729
"2019-07-15",331,5578.209961,5572.93660052957
"2019-07-16",332,5614.379883,5581.30971428218
"2019-07-17",333,5571.709961,5618.98679570851
"2019-07-18",334,5550.549805,5576.13799204396
"2019-07-19",335,5552.339844,5548.73660748145
"2019-07-22",336,5567.02002,5548.77125134101
"2019-07-23",337,5618.160156,5566.38473253152
"2019-07-24",338,5605.870117,5622.8557550185
"2019-07-25",339,5578.049805,5612.70398656547
"2019-07-26",340,5610.049805,5579.59925258791
"2019-07-29",341,5601.100098,5606.56926123052
"2019-07-30",342,5511.069824,5601.57814002101
"2019-07-31",343,5518.899902,5512.82567620699
"2019-08-01",344,5557.410156,5514.63776433326
"2019-08-02",345,5359,5552.31351879006
"2019-08-05",346,5241.549805,5368.4159225462
"2019-08-06",347,5234.649902,5236.69759308976
"2019-08-07",348,5266.509766,5208.66322435991
"2019-08-08",349,5387.959961,5252.63470131422
"2019-08-09",350,5327.919922,5410.59955430336
"2019-08-12",351,5310.310059,5349.69672558488
"2019-08-13",352,5363.069824,5319.5038069341
"2019-08-14",353,5251.299805,5362.05391709221
"2019-08-15",354,5236.930176,5247.20465221538
"2019-08-16",355,5300.790039,5232.37858195826
"2019-08-19",356,5371.560059,5292.8960319359
"2019-08-20",357,5344.640137,5374.58312795082
"2019-08-21",358,5435.47998,5354.54634212098
"2019-08-22",359,5388.25,5442.82757059449
"2019-08-23",360,5326.870117,5390.11875387266
"2019-08-26",361,5351.02002,5328.35014998497
"2019-08-27",362,5387.089844,5348.17055849892
"2019-08-28",363,5368.799805,5379.22478476376
"2019-08-29",364,5449.970215,5374.76171652533
"2019-08-30",365,5480.47998,5455.7939178033
"2019-09-02",366,5493.040039,5485.49835085266
"2019-09-03",367,5466.069824,5501.1872251505
"2019-09-04",368,5532.069824,5467.97133391925
"2019-09-05",369,5593.370117,5527.90295245887
"2019-09-06",370,5603.990234,5595.06061369664
"2019-09-09",371,5588.950195,5611.94414181195
"2019-09-10",372,5593.209961,5594.04295747474
"2019-09-11",373,5618.060059,5592.39999569613
"2019-09-12",374,5642.859863,5616.57120700811
"2019-09-13",375,5655.459961,5644.82213912256
"2019-09-16",376,5602.22998,5661.89305655458
"2019-09-17",377,5615.509766,5603.56382554563
"2019-09-18",378,5620.649902,5613.36350351907
"2019-09-19",379,5659.080078,5616.80724990182
"2019-09-20",380,5690.779785,5662.27177576878
"2019-09-23",381,5630.759766,5696.91019710448
"2019-09-24",382,5628.330078,5631.91372384679
"2019-09-25",383,5583.799805,5626.58493556902
"2019-09-26",384,5620.569824,5580.23004050382
"2019-09-27",385,5640.580078,5620.12567142715
"2019-09-30",386,5677.790039,5644.88501819264
"2019-10-01",387,5597.629883,5684.49210066553
